,,,,,,,,,
,Player,# of Immunity Challenges Won,Season #,Season Name,Sex,Count,,,
,Jaison Robinson,2,19,Samoa,Male,0,,,
,Laura Morett,2,19,Samoa,Female,2,,,
,Russell Hantz,2,20,Heroes vs Villains,Male,0,,,
,Jane Bright,2,21,Nicaragua,Female,2,,,
,Sash Lenahan,2,21,Nicaragua,Male,0,,,
,Ashley Underwood,2,22,Redemption Island,Female,2,,,
,Grant Mattos,2,22,Redemption Island,Male,0,,,
,Ozzy Lusth,2,23,South Pacific,Male,0,,,
,Troyzan Robertson,2,24,One World,Male,0,,,
,Carter Williams,2,25,Philippines,Male,0,,,
,Malcolm Freburg,2,25,Philippines,Male,0,,,
,Michael Skupin,2,25,Philippines,Male,0,,,
,Tyson Apostol,2,27,Blood vs Water,Male,0,,,
,Woo Hwang,2,28,Cagayan,Male,0,,,
,Carolyn Rivera,2,30,Worlds Apart,Female,2,,,
,Joe Anglim,2,30,Worlds Apart,Male,0,,,
,Kelley Wentworth,2,31,Cambodia,Female,2,,,
,Michele Fitzgerald,2,32,Kaoh Rong,Female,2,,,
,David Wright,2,33,Millennials vs Gen X,Male,0,,,
,Jay Starrett,2,33,Millennials vs Gen X,Male,0,,,
,Andrea Boehlke,2,34,Game Changers,Female,2,,,
,Ashley Nolan,2,35,Heroes vs Healers vs Hustlers,Female,2,,,
,Chelsea Townsend,2,36,Ghost Island,Female,2,,,
,Wendell Holland,2,36,Ghost Island,Male,0,,,
,Aurora McCreary,2,38,Edge of Extinction,Female,2,,,
,Gavin Whitson,2,38,Edge of Extinction,Male,0,,,
,Julie Rosenberg,2,38,Edge of Extinction,Female,2,,,
,Aaron Meredith,2,39,Island of the Idols,Male,0,,,
,Dean Kowalski,2,39,Island of the Idols,Male,0,,,
,Denise Stapley,2,40,Winners at War,Female,2,,,
,Michele Fitzgerald,2,40,Winners at War,Female,2,,,
,Gervase Peterson,1,1,Borneo,Male,0,,,
,Greg Buis,1,1,Borneo,Male,0,,,
,Richard Hatch,1,1,Borneo,Male,0,,,
,Rudy Boesch,1,1,Borneo,Male,0,,,
,Nick Brown,1,2,Australian Outback,Male,0,,,
,Ethan Zohn,1,3,Africa,Male,0,,,
,Teresa Cooper,1,3,Africa,Female,1,,,
,Tom Buchanan,1,3,Africa,Male,0,,,
,Neleh Dennis,1,4,Marquesas,Female,1,,,
,Robert DeCanio,1,4,Marquesas,Male,0,,,
,Clay Jordan,1,5,Thailand,Male,0,,,
,Helen Glover,1,5,Thailand,Female,1,,,
,Ted Rogers Jr,1,5,Thailand,Male,0,,,
,Deena Bennett,1,6,The Amazon,Female,1,,,
,Rob Cesternino,1,6,The Amazon,Male,0,,,
,Lillian Morris,1,7,Pearl Islands,Female,1,,,
,Rupert Boneham,1,7,Pearl Islands,Male,0,,,
,Amber Brkich,1,8,All Stars,Female,1,,,
,Kathy Vavrick-O'Brien,1,8,All Stars,Female,1,,,
,Shii Ann Huang,1,8,All Stars,Female,1,,,
,Tom Buchanan,1,8,All Stars,Male,0,,,
,Eliza Orlins,1,9,Vanuatu,Female,1,,,
,John Kenney,1,9,Vanuatu,Male,0,,,
,Lea Masters,1,9,Vanuatu,Male,0,,,
,Twila Tanner,1,9,Vanuatu,Female,1,,,
,Gary Hogeboom,1,11,Guatemala,Male,0,,,
,Jamie Newton,1,11,Guatemala,Male,0,,,
,Stephenie LaGrossa,1,11,Guatemala,Female,1,,,
,Aras Baskauskas,1,12,Panama,Male,0,,,
,Danielle DiLorenzo,1,12,Panama,Female,1,,,
,Adam Gentry,1,13,Cook Islands,Male,0,,,
,Dreamz Herd,1,14,Fiji,Male,0,,,
,Stacy Kimball,1,14,Fiji,Female,1,,,
,Courtney Yates,1,15,China,Female,1,,,
,Erik Huffman,1,15,China,Male,0,,,
,Frosti Zernow,1,15,China,Male,0,,,
,Jason Siska,1,16,Micronesia,Male,0,,,
,Parvati Shallow,1,16,Micronesia,Female,1,,,
,GC Brown,1,17,Gabon,Male,0,,,
,Ken Hoang,1,17,Gabon,Male,0,,,
,Marcus Lehman,1,17,Gabon,Male,0,,,
,Coach Wade,1,18,Tocantins,Male,0,,,
,Debbie Beebe,1,18,Tocantins,Female,1,,,
,Stephen Fishbach,1,18,Tocantins,Male,0,,,
,John Fincher,1,19,Samoa,Male,0,,,
,Mick Trimming,1,19,Samoa,Male,0,,,
,Russell Hantz,1,19,Samoa,Male,0,,,
,Danielle DiLorenzo,1,20,Heroes vs Villains,Female,1,,,
,Jerri Manthey,1,20,Heroes vs Villains,Female,1,,,
,Rob Mariano,1,20,Heroes vs Villains,Male,0,,,
,Brenda Lowe,1,21,Nicaragua,Female,1,,,
,Holly Hoffman,1,21,Nicaragua,Female,1,,,
,Jill Behm,1,21,Nicaragua,Female,1,,,
,Andrea Boehlke,1,22,Redemption Island,Female,1,,,
,Natalie Tenerelli,1,22,Redemption Island,Female,1,,,
,Albert Destrade,1,23,South Pacific,Male,0,,,
,Brandon Hantz,1,23,South Pacific,Male,0,,,
,Coach Wade,1,23,South Pacific,Male,0,,,
,Dawn Meehan,1,23,South Pacific,Female,1,,,
,Jim Rice,1,23,South Pacific,Male,0,,,
,Whitney Duncan,1,23,South Pacific,Female,1,,,
,Alicia Rosa,1,24,One World,Female,1,,,
,Chelsea Meissner,1,24,One World,Female,1,,,
,Jay Byars,1,24,One World,Male,0,,,
,Abi-Maria Gomes,1,25,Philippines,Female,1,,,
,Denise Stapley,1,25,Philippines,Female,1,,,
,Jonathan Penner,1,25,Philippines,Male,0,,,
,Andrea Boehlke,1,26,Caramoan,Female,1,,,
,Brenda Lowe,1,26,Caramoan,Female,1,,,
,Dawn Meehan,1,26,Caramoan,Female,1,,,
,Erik Reichenbach,1,26,Caramoan,Male,0,,,
,Reynold Toepfer,1,26,Caramoan,Male,0,,,
,Ciera Eastin,1,27,Blood vs Water,Female,1,,,
,Gervase Peterson,1,27,Blood vs Water,Male,0,,,
,Katie Collins,1,27,Blood vs Water,Female,1,,,
,Vytas Baskauskas,1,27,Blood vs Water,Male,0,,,
,Kass McQuillen,1,28,Cagayan,Female,1,,,
,Baylor Wilson,1,29,San Juan Del Sur,Female,1,,,
,Jaclyn Schultz,1,29,San Juan Del Sur,Female,1,,,
,Jeremy Collins,1,29,San Juan Del Sur,Male,0,,,
,Jon Misch,1,29,San Juan Del Sur,Male,0,,,
,Natalie Anderson,1,29,San Juan Del Sur,Female,1,,,
,Reed Kelly,1,29,San Juan Del Sur,Male,0,,,
,Tyler Fredrickson,1,30,Worlds Apart,Male,0,,,
,Jeremy Collins,1,31,Cambodia,Male,0,,,
,Keith Nale,1,31,Cambodia,Male,0,,,
,Cydney Gillon,1,32,Kaoh Rong,Female,1,,,
,Julia Sokolowski,1,32,Kaoh Rong,Female,1,,,
,Kyle Jason,1,32,Kaoh Rong,Male,0,,,
,Nick Maiorano,1,32,Kaoh Rong,Male,0,,,
,Tai Trang,1,32,Kaoh Rong,Male,0,,,
,Adam Klein,1,33,Millennials vs Gen X,Male,0,,,
,Will Wahl,1,33,Millennials vs Gen X,Male,0,,,
,Aubry Bracco,1,34,Game Changers,Female,1,,,
,Tai Trang,1,34,Game Changers,Male,0,,,
,Troyzan Robertson,1,34,Game Changers,Male,0,,,
,Cole Medders,1,35,Heroes vs Healers vs Hustlers,Male,0,,,
,Desi Williams,1,35,Heroes vs Healers vs Hustlers,Female,1,,,
,Lauren Rimmer,1,35,Heroes vs Healers vs Hustlers,Female,1,,,
,Angela Perkins,1,36,Ghost Island,Female,1,,,
,Kellyn Bechtold,1,36,Ghost Island,Female,1,,,
,Laurel Johnson,1,36,Ghost Island,Female,1,,,
,Alec Merlino,1,37,David vs Goliath,Male,0,,,
,Alison Raybould,1,37,David vs Goliath,Female,1,,,
,Christian Hubicki,1,37,David vs Goliath,Male,0,,,
,Dan Rengering,1,37,David vs Goliath,Male,0,,,
,Davie Rickenbacker,1,37,David vs Goliath,Male,0,,,
,Kara Kay,1,37,David vs Goliath,Female,1,,,
,Mike White,1,37,David vs Goliath,Male,0,,,
,Chris Underwood,1,38,Edge of Extinction,Male,0,,,
,Elaine Stott,1,39,Island of the Idols,Female,1,,,
,Lauren Beck,1,39,Island of the Idols,Female,1,,,
,Missy Byrd,1,39,Island of the Idols,Female,1,,,
,Jeremy Collins,1,40,Winners at War,Male,0,,,
,Kim Spradlin,1,40,Winners at War,Female,1,,,
,Natalie Anderson,1,40,Winners at War,Female,1,,,
,Nick Wilson,1,40,Winners at War,Male,0,,,
,,,,,,,,,
,,,,,,,,,
,Total by Women,131,,,,,,,
,Total by Men,215,,,,,,,
,Total,346,,,,,,,
,% by Women,0.379,,,,,,,
,% by Men,0.621,,,,,,,
